Location,Year,Season,Total_Land_Ha,Agricultural_Land_Ha,Irrigated_Land_Ha,Rainfed_Land_Ha,Fallow_Land_Ha,Forest_Land_Ha,Urban_Land_Ha,Wasteland_Ha,Horticulture_Ha,Plantation_Ha,Irrigation_Percent,Agricultural_Percent,Soil_Type,Avg_Soil_pH,Organic_Carbon_Percent,N_Status,P_Status,K_Status,data_source
Coimbatore,2020,Kharif,349822,186420,108640,77780,12840,48620,72460,18640,14280,12880,58.3,53.3,Red Sandy Loam,6.8,0.62,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Rabi,349822,182640,104820,77820,16480,48620,72460,18640,14280,12880,57.4,52.2,Red Sandy Loam,6.8,0.61,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,Summer,349822,168240,88620,79620,30480,48620,72460,18640,14280,12880,52.7,48.1,Red Sandy Loam,6.8,0.6,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,Kharif,349822,188640,110840,77800,12480,48620,72460,18640,14280,12880,58.8,53.9,Red Sandy Loam,6.9,0.63,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,Rabi,349822,184820,106620,78200,14820,48620,72460,18640,14280,12880,57.7,52.8,Red Sandy Loam,6.9,0.62,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,Summer,349822,172640,92820,79820,26480,48620,72460,18640,14280,12880,53.8,49.4,Red Sandy Loam,6.9,0.61,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,Kharif,349822,190240,112640,77600,12180,48620,72460,18640,14280,12880,59.2,54.4,Red Sandy Loam,7.0,0.64,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,Rabi,349822,186420,108620,77800,14140,48620,72460,18640,14280,12880,58.3,53.3,Red Sandy Loam,7.0,0.63,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2022,Summer,349822,174820,94820,80000,25420,48620,72460,18640,14280,12880,54.2,50.0,Red Sandy Loam,7.0,0.62,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,Kharif,349822,192480,114840,77640,11820,48620,72460,18640,14280,12880,59.7,55.0,Red Sandy Loam,7.1,0.65,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,Rabi,349822,188640,110840,77800,13180,48620,72460,18640,14280,12880,58.8,53.9,Red Sandy Loam,7.1,0.64,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2023,Summer,349822,176420,96620,79800,24420,48620,72460,18640,14280,12880,54.8,50.4,Red Sandy Loam,7.1,0.63,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2024,Kharif,349822,192480,114840,77640,11820,48620,72460,18640,14280,12880,59.7,55.0,Red Sandy Loam,7.1,0.65,Medium,Medium,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Coimbatore,2024,Rabi,349822,188640,110840,77800,13180,48620,72460,18640,14280,12880,58.8,53.9,Red Sandy Loam,7.1,0.64,Medium,Medium,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Coimbatore,2024,Summer,349822,176420,96620,79800,24420,48620,72460,18640,14280,12880,54.8,50.4,Red Sandy Loam,7.1,0.63,Medium,Medium,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
