Location,Year,Month,Season,River_Inflow_MCM,Reservoir_Storage_MCM,Reservoir_Capacity_MCM,Storage_Percent,Groundwater_Level_mbgl,Groundwater_Status,Canal_Release_MCM,Irrigation_Water_MCM,Drinking_Water_MCM,Industrial_Water_MCM,Total_Demand_MCM,Deficit_Surplus_MCM,Primary_Source,data_source
Coimbatore,2020,January,Winter,12.4,230.7,320.4,72.0,15.0,Normal,8.6,6.2,1.8,0.6,8.6,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,February,Winter,8.6,230.7,320.4,72.0,15.0,Below Normal,7.2,5.4,1.4,0.4,7.2,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,March,Summer,6.2,185.8,320.4,58.0,21.0,Low,5.8,4.2,1.2,0.4,5.8,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,April,Summer,4.8,185.8,320.4,58.0,21.0,Low,4.6,3.2,1.0,0.4,4.6,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,May,Summer,8.4,185.8,320.4,58.0,21.0,Very Low,5.2,3.4,1.2,0.6,5.2,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,June,Southwest Monsoon,24.6,272.3,320.4,85.0,16.5,Normal,12.4,8.6,2.4,1.4,12.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,July,Southwest Monsoon,38.4,272.3,320.4,85.0,16.5,Normal,18.6,13.2,3.4,2.0,18.6,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,August,Southwest Monsoon,42.8,272.3,320.4,85.0,16.5,Above Normal,22.4,16.2,4.2,2.0,22.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,September,Southwest Monsoon,68.4,272.3,320.4,85.0,16.5,Above Normal,32.4,24.2,6.2,2.0,32.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,October,Northeast Monsoon,124.6,230.7,320.4,72.0,15.0,High,48.6,36.4,9.2,3.0,48.6,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,November,Northeast Monsoon,86.4,230.7,320.4,72.0,15.0,Very High,42.4,32.2,7.8,2.4,42.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2020,December,Northeast Monsoon,38.2,230.7,320.4,72.0,15.0,High,24.6,18.4,4.6,1.6,24.6,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,January,Winter,14.2,230.7,320.4,72.0,15.0,High,10.4,7.6,2.0,0.8,10.4,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,February,Winter,10.6,230.7,320.4,72.0,15.0,Above Normal,8.8,6.4,1.6,0.8,8.8,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,March,Summer,7.4,185.8,320.4,58.0,21.0,Normal,7.2,5.2,1.4,0.6,7.2,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,April,Summer,5.2,185.8,320.4,58.0,21.0,Normal,6.4,4.6,1.2,0.6,6.4,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,May,Summer,6.8,185.8,320.4,58.0,21.0,Normal,6.2,4.4,1.2,0.6,6.2,0.0,Pillur Dam,"Project baseline dataset (2020-2023, course-provided)"
Coimbatore,2021,June,Southwest Monsoon,28.4,272.3,320.4,85.0,16.5,Normal,14.6,10.4,2.8,1.4,14.6,0.0,Bhavani River,"Project baseline dataset (2020-2023, course-provided)"
