Location,Year,Season,Total_Land_Ha,Agricultural_Land_Ha,Irrigated_Land_Ha,Rainfed_Land_Ha,Fallow_Land_Ha,Forest_Land_Ha,Urban_Land_Ha,Wasteland_Ha,Horticulture_Ha,Plantation_Ha,Irrigation_Percent,Agricultural_Percent,Soil_Type,Avg_Soil_pH,Organic_Carbon_Percent,N_Status,P_Status,K_Status,data_source
Erode,2020,Kharif,583052,284620,156840,127780,18640,98420,42460,28640,22480,16820,55.1,48.8,Red Laterite,6.6,0.58,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Rabi,583052,278840,150820,128020,24480,98420,42460,28640,22480,16820,54.1,47.8,Red Laterite,6.6,0.57,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,Summer,583052,258240,128620,129620,44480,98420,42460,28640,22480,16820,49.8,44.3,Red Laterite,6.6,0.56,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Kharif,583052,288640,160840,127800,14480,98420,42460,28640,22480,16820,55.7,49.5,Red Laterite,6.7,0.59,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Rabi,583052,282820,154820,128000,20480,98420,42460,28640,22480,16820,54.8,48.5,Red Laterite,6.7,0.58,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,Summer,583052,262640,132820,129820,40480,98420,42460,28640,22480,16820,50.6,45.0,Red Laterite,6.7,0.57,Medium,Low,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Kharif,583052,292840,164640,128200,12180,98420,42460,28640,22480,16820,56.2,50.2,Red Laterite,6.8,0.6,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Rabi,583052,286620,158620,128000,16140,98420,42460,28640,22480,16820,55.4,49.2,Red Laterite,6.8,0.59,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,Summer,583052,266820,136820,130000,36420,98420,42460,28640,22480,16820,51.3,45.8,Red Laterite,6.8,0.58,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Kharif,583052,296480,168840,127640,10820,98420,42460,28640,22480,16820,57.0,50.8,Red Laterite,6.9,0.61,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Rabi,583052,290240,162640,127600,13180,98420,42460,28640,22480,16820,56.0,49.8,Red Laterite,6.9,0.6,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Summer,583052,270420,140420,130000,32420,98420,42460,28640,22480,16820,51.9,46.4,Red Laterite,6.9,0.59,Medium,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2024,Kharif,583052,296480,168840,127640,10820,98420,42460,28640,22480,16820,57.0,50.8,Red Laterite,6.9,0.61,Medium,Medium,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Erode,2024,Rabi,583052,290240,162640,127600,13180,98420,42460,28640,22480,16820,56.0,49.8,Red Laterite,6.9,0.6,Medium,Medium,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Erode,2024,Summer,583052,270420,140420,130000,32420,98420,42460,28640,22480,16820,51.9,46.4,Red Laterite,6.9,0.59,Medium,Medium,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
