Location,Year,Month,Season,Monthly_Rainfall_mm,Rainy_Days,Max_Daily_Rainfall_mm,Min_Temp_C,Max_Temp_C,Humidity_Percent,Rainfall_Type,Normal_Rainfall_mm,Deviation_from_Normal_mm,Deviation_Percent,data_source,Annual_Normal_mm
Erode,2020,January,Winter,6.4,2,5.2,18.8,32.4,58,Light,34.5,-28.1,-81.4,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,February,Winter,3.8,1,3.8,19.8,34.2,54,Light,34.5,-30.7,-89.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,March,Summer,18.2,4,10.4,22.2,36.8,52,Pre-monsoon,26.7,-8.5,-31.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,April,Summer,44.6,6,20.2,24.6,38.4,58,Pre-monsoon,26.7,17.9,67.0,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,May,Summer,62.4,8,28.6,26.2,39.6,62,Pre-monsoon,26.7,35.7,133.7,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,June,Southwest Monsoon,36.8,7,16.4,25.4,36.2,68,Monsoon,85.0,-48.2,-56.7,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,July,Southwest Monsoon,48.6,9,20.8,24.4,34.8,72,Monsoon,85.0,-36.4,-42.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,August,Southwest Monsoon,42.4,8,17.6,24.2,34.4,74,Monsoon,85.0,-42.6,-50.1,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,September,Southwest Monsoon,82.6,12,36.4,23.8,33.8,76,Monsoon,85.0,-2.4,-2.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,October,Northeast Monsoon,116.4,15,48.2,22.8,32.6,80,Monsoon,53.7,62.7,116.8,"Project baseline dataset (2020-2023, course-provided)",650
Erode,2020,November,Northeast Monsoon,88.4,12,38.4,21.6,31.4,77,Monsoon,53.7,34.7,64.6,"Project baseline dataset (2020-2023, course-provided)",650
