Location,Year,Month,Season,River_Inflow_MCM,Reservoir_Storage_MCM,Reservoir_Capacity_MCM,Storage_Percent,Groundwater_Level_mbgl,Groundwater_Status,Canal_Release_MCM,Irrigation_Water_MCM,Drinking_Water_MCM,Industrial_Water_MCM,Total_Demand_MCM,Deficit_Surplus_MCM,Primary_Source,data_source
Erode,2020,January,Winter,10.2,161.6,248.6,65.0,19.5,Normal,7.2,5.4,1.4,0.4,7.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,February,Winter,7.4,161.6,248.6,65.0,19.5,Below Normal,6.2,4.6,1.2,0.4,6.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,March,Summer,5.4,124.3,248.6,50.0,25.5,Low,5.2,3.8,1.0,0.4,5.2,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,April,Summer,4.2,124.3,248.6,50.0,25.5,Low,4.4,3.2,0.8,0.4,4.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,May,Summer,7.2,124.3,248.6,50.0,25.5,Very Low,4.8,3.4,1.0,0.4,4.8,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,June,Southwest Monsoon,20.4,193.9,248.6,78.0,21.0,Normal,10.6,7.6,2.0,1.0,10.6,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,July,Southwest Monsoon,34.2,193.9,248.6,78.0,21.0,Normal,16.4,11.8,3.0,1.6,16.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,August,Southwest Monsoon,38.6,193.9,248.6,78.0,21.0,Above Normal,20.2,14.6,3.8,1.8,20.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,September,Southwest Monsoon,62.4,193.9,248.6,78.0,21.0,Above Normal,28.4,21.2,5.4,1.8,28.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,October,Northeast Monsoon,112.4,161.6,248.6,65.0,19.5,High,44.2,33.4,8.2,2.6,44.2,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,November,Northeast Monsoon,78.4,161.6,248.6,65.0,19.5,Very High,38.6,29.2,7.2,2.2,38.6,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2020,December,Northeast Monsoon,34.6,161.6,248.6,65.0,19.5,High,22.4,16.8,4.2,1.4,22.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,January,Winter,12.4,161.6,248.6,65.0,19.5,High,9.4,7.0,1.8,0.6,9.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,February,Winter,9.2,161.6,248.6,65.0,19.5,Above Normal,8.0,6.0,1.4,0.6,8.0,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,March,Summer,6.8,124.3,248.6,50.0,25.5,Normal,6.8,5.0,1.2,0.6,6.8,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,April,Summer,4.8,124.3,248.6,50.0,25.5,Normal,5.8,4.2,1.0,0.6,5.8,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,May,Summer,6.4,124.3,248.6,50.0,25.5,Normal,5.6,4.0,1.0,0.6,5.6,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,June,Southwest Monsoon,26.4,193.9,248.6,78.0,21.0,Normal,12.8,9.4,2.6,0.8,12.8,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,July,Southwest Monsoon,38.4,193.9,248.6,78.0,21.0,Very High,18.6,13.6,3.4,1.6,18.6,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,August,Southwest Monsoon,34.6,193.9,248.6,78.0,21.0,Very High,22.4,16.6,4.0,1.8,22.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,September,Southwest Monsoon,68.2,193.9,248.6,78.0,21.0,Very High,34.2,25.8,6.2,2.2,34.2,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,October,Northeast Monsoon,104.6,161.6,248.6,65.0,19.5,Very High,48.4,36.6,9.0,2.8,48.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,November,Northeast Monsoon,88.4,161.6,248.6,65.0,19.5,Very High,42.2,32.0,7.8,2.4,42.2,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2021,December,Northeast Monsoon,28.4,161.6,248.6,65.0,19.5,High,20.6,15.4,3.8,1.4,20.6,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,January,Winter,10.8,161.6,248.6,65.0,19.5,High,8.6,6.4,1.6,0.6,8.6,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,February,Winter,7.8,161.6,248.6,65.0,19.5,Above Normal,7.4,5.4,1.4,0.6,7.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,March,Summer,5.8,124.3,248.6,50.0,25.5,Normal,6.4,4.6,1.2,0.6,6.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,April,Summer,4.4,124.3,248.6,50.0,25.5,Normal,5.6,4.0,1.0,0.6,5.6,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,May,Summer,6.8,124.3,248.6,50.0,25.5,Normal,5.4,3.8,1.0,0.6,5.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,June,Southwest Monsoon,30.4,193.9,248.6,78.0,21.0,Normal,14.4,10.6,2.8,1.0,14.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,July,Southwest Monsoon,40.4,193.9,248.6,78.0,21.0,Very High,20.2,14.8,3.8,1.6,20.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,August,Southwest Monsoon,42.8,193.9,248.6,78.0,21.0,Very High,24.4,18.2,4.4,1.8,24.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,September,Southwest Monsoon,58.4,193.9,248.6,78.0,21.0,Very High,30.4,22.8,5.8,1.8,30.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,October,Northeast Monsoon,128.4,161.6,248.6,65.0,19.5,Very High,52.4,39.6,9.8,3.0,52.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,November,Northeast Monsoon,74.2,161.6,248.6,65.0,19.5,Very High,36.8,27.8,7.0,2.0,36.8,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2022,December,Northeast Monsoon,36.4,161.6,248.6,65.0,19.5,High,24.2,18.2,4.4,1.6,24.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,January,Winter,9.4,161.6,248.6,65.0,19.5,High,8.0,6.0,1.4,0.6,8.0,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,February,Winter,8.2,161.6,248.6,65.0,19.5,Above Normal,7.2,5.2,1.4,0.6,7.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,March,Summer,6.2,124.3,248.6,50.0,25.5,Normal,6.2,4.4,1.2,0.6,6.2,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,April,Summer,4.6,124.3,248.6,50.0,25.5,Normal,5.4,3.8,1.0,0.6,5.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,May,Summer,7.0,124.3,248.6,50.0,25.5,Normal,5.2,3.6,1.0,0.6,5.2,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,June,Southwest Monsoon,28.4,193.9,248.6,78.0,21.0,Normal,13.8,10.0,2.6,1.2,13.8,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,July,Southwest Monsoon,42.6,193.9,248.6,78.0,21.0,Very High,19.6,14.4,3.8,1.4,19.6,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,August,Southwest Monsoon,38.4,193.9,248.6,78.0,21.0,Very High,23.2,17.4,4.2,1.6,23.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,September,Southwest Monsoon,72.4,193.9,248.6,78.0,21.0,Very High,33.8,25.4,6.4,2.0,33.8,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,October,Northeast Monsoon,116.4,161.6,248.6,65.0,19.5,Very High,50.2,38.0,9.4,2.8,50.2,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,November,Northeast Monsoon,88.4,161.6,248.6,65.0,19.5,Very High,41.4,31.4,7.6,2.4,41.4,0.0,Bhavanisagar Dam,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,December,Northeast Monsoon,30.4,161.6,248.6,65.0,19.5,High,21.8,16.4,4.0,1.4,21.8,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Erode,2024,January,Winter,9.4,161.6,248.6,65.0,19.5,High,8.0,6.0,1.4,0.6,8.0,0.0,Cauvery River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Erode,2024,February,Winter,8.2,161.6,248.6,65.0,19.5,Above Normal,7.2,5.2,1.4,0.6,7.2,0.0,Cauvery River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Erode,2024,March,Summer,6.2,124.3,248.6,50.0,25.5,Normal,6.2,4.4,1.2,0.6,6.2,0.0,Bhavanisagar Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
