Location,Year,Season,Total_Land_Ha,Agricultural_Land_Ha,Irrigated_Land_Ha,Rainfed_Land_Ha,Fallow_Land_Ha,Forest_Land_Ha,Urban_Land_Ha,Wasteland_Ha,Horticulture_Ha,Plantation_Ha,Irrigation_Percent,Agricultural_Percent,Soil_Type,Avg_Soil_pH,Organic_Carbon_Percent,N_Status,P_Status,K_Status,data_source
Pollachi,2020,Kharif,184822,108420,72640,35780,8640,42820,18460,8640,12480,18820,67.0,58.7,Black Cotton Soil,7.2,0.72,High,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Rabi,184822,106040,70420,35620,11040,42820,18460,8640,12480,18820,66.4,57.4,Black Cotton Soil,7.2,0.71,High,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,Summer,184822,96240,58820,37420,21040,42820,18460,8640,12480,18820,61.1,52.1,Black Cotton Soil,7.2,0.7,High,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Kharif,184822,110240,74440,35800,8240,42820,18460,8640,12480,18820,67.5,59.6,Black Cotton Soil,7.3,0.73,High,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Rabi,184822,107840,72220,35620,10440,42820,18460,8640,12480,18820,67.0,58.3,Black Cotton Soil,7.3,0.72,High,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,Summer,184822,98240,60820,37420,19040,42820,18460,8640,12480,18820,61.9,53.2,Black Cotton Soil,7.3,0.71,High,Medium,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,Kharif,184822,112440,76640,35800,7840,42820,18460,8640,12480,18820,68.2,60.8,Black Cotton Soil,7.4,0.74,High,High,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,Rabi,184822,110040,74420,35620,9240,42820,18460,8640,12480,18820,67.6,59.5,Black Cotton Soil,7.4,0.73,High,High,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,Summer,184822,100440,62820,37620,17440,42820,18460,8640,12480,18820,62.5,54.3,Black Cotton Soil,7.4,0.72,High,High,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,Kharif,184822,114480,78640,35840,7420,42820,18460,8640,12480,18820,68.7,61.9,Black Cotton Soil,7.5,0.75,High,High,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,Rabi,184822,112040,76420,35620,8440,42820,18460,8640,12480,18820,68.2,60.6,Black Cotton Soil,7.5,0.74,High,High,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,Summer,184822,102440,64620,37820,15840,42820,18460,8640,12480,18820,63.1,55.4,Black Cotton Soil,7.5,0.73,High,High,High,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2024,Kharif,184822,114480,78640,35840,7420,42820,18460,8640,12480,18820,68.7,61.9,Black Cotton Soil,7.5,0.75,High,High,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Pollachi,2024,Rabi,184822,112040,76420,35620,8440,42820,18460,8640,12480,18820,68.2,60.6,Black Cotton Soil,7.5,0.74,High,High,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Pollachi,2024,Summer,184822,102440,64620,37820,15840,42820,18460,8640,12480,18820,63.1,55.4,Black Cotton Soil,7.5,0.73,High,High,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
