Location,Year,Month,Season,Monthly_Rainfall_mm,Rainy_Days,Max_Daily_Rainfall_mm,Min_Temp_C,Max_Temp_C,Humidity_Percent,Rainfall_Type,Normal_Rainfall_mm,Deviation_from_Normal_mm,Deviation_Percent,data_source,Annual_Normal_mm
Pollachi,2020,January,Winter,12.4,3,8.2,18.0,30.8,68,Light,39.0,-26.6,-68.2,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,February,Winter,8.6,2,6.4,19.2,32.4,64,Light,39.0,-30.4,-77.9,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,March,Summer,28.4,5,14.6,21.4,34.8,60,Pre-monsoon,23.3,5.1,21.9,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,April,Summer,72.4,9,32.4,23.2,36.4,66,Pre-monsoon,23.3,49.1,210.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,May,Summer,96.4,12,44.2,24.4,37.6,72,Pre-monsoon,23.3,73.1,313.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,June,Southwest Monsoon,124.6,16,54.2,24.0,34.8,80,Monsoon,105.0,19.6,18.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,July,Southwest Monsoon,148.4,19,64.8,23.2,33.6,84,Monsoon,105.0,43.4,41.3,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,August,Southwest Monsoon,136.2,18,58.4,22.8,33.2,86,Monsoon,105.0,31.2,29.7,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,September,Southwest Monsoon,112.4,15,48.6,22.4,33.0,84,Monsoon,105.0,7.4,7.0,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,October,Northeast Monsoon,148.6,18,64.4,21.8,31.8,82,Monsoon,60.7,87.9,144.8,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,November,Northeast Monsoon,118.4,15,50.4,20.6,30.4,80,Monsoon,60.7,57.7,95.1,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2020,December,Northeast Monsoon,48.4,8,24.2,19.2,29.8,74,Light,60.7,-12.3,-20.3,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,January,Winter,10.2,3,7.2,17.8,31.0,67,Light,39.0,-28.8,-73.8,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,February,Winter,11.4,3,8.2,19.4,32.6,65,Light,39.0,-27.6,-70.8,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,March,Summer,32.4,6,16.8,21.6,35.0,61,Pre-monsoon,23.3,9.1,39.1,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,April,Summer,64.4,8,28.4,23.4,36.6,67,Pre-monsoon,23.3,41.1,176.4,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,May,Summer,102.4,13,48.4,24.6,37.8,73,Pre-monsoon,23.3,79.1,339.5,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,June,Southwest Monsoon,112.4,14,48.4,23.8,34.6,79,Monsoon,105.0,7.4,7.0,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,July,Southwest Monsoon,156.4,20,68.4,23.0,33.4,85,Monsoon,105.0,51.4,49.0,"Project baseline dataset (2020-2023, course-provided)",750
Pollachi,2021,August,Southwest Monsoon,122.4,16,52.4,22.6,33.0,87,Monsoon,105.0,17.4,16.6,"Project baseline dataset (2020-2023, course-provided)",750
