Location,Year,Month,Season,River_Inflow_MCM,Reservoir_Storage_MCM,Reservoir_Capacity_MCM,Storage_Percent,Groundwater_Level_mbgl,Groundwater_Status,Canal_Release_MCM,Irrigation_Water_MCM,Drinking_Water_MCM,Industrial_Water_MCM,Total_Demand_MCM,Deficit_Surplus_MCM,Primary_Source,data_source
Pollachi,2020,January,Winter,18.4,170.8,284.6,60.0,21.5,Normal,11.2,8.4,2.0,0.8,11.2,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,February,Winter,14.2,170.8,284.6,60.0,21.5,Normal,9.4,7.0,1.6,0.8,9.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,March,Summer,10.4,128.1,284.6,45.0,27.5,Normal,7.8,5.8,1.4,0.6,7.8,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,April,Summer,8.4,128.1,284.6,45.0,27.5,Below Normal,6.8,5.0,1.2,0.6,6.8,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,May,Summer,12.4,128.1,284.6,45.0,27.5,Low,7.4,5.4,1.4,0.6,7.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,June,Southwest Monsoon,64.4,204.9,284.6,72.0,23.0,Normal,22.4,16.6,4.2,1.6,22.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,July,Southwest Monsoon,98.4,204.9,284.6,72.0,23.0,Above Normal,38.4,28.6,7.4,2.4,38.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,August,Southwest Monsoon,88.4,204.9,284.6,72.0,23.0,Very High,44.4,33.2,8.6,2.6,44.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,September,Southwest Monsoon,72.4,204.9,284.6,72.0,23.0,Very High,38.4,28.8,7.6,2.0,38.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,October,Northeast Monsoon,96.4,170.8,284.6,60.0,21.5,Very High,46.4,35.0,8.8,2.6,46.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,November,Northeast Monsoon,78.4,170.8,284.6,60.0,21.5,Very High,40.4,30.4,7.8,2.2,40.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2020,December,Northeast Monsoon,42.4,170.8,284.6,60.0,21.5,High,26.4,19.8,5.0,1.6,26.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,January,Winter,20.4,170.8,284.6,60.0,21.5,High,13.4,10.0,2.4,1.0,13.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,February,Winter,16.4,170.8,284.6,60.0,21.5,Normal,11.4,8.4,2.0,1.0,11.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,March,Summer,12.4,128.1,284.6,45.0,27.5,Normal,9.4,7.0,1.6,0.8,9.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,April,Summer,9.4,128.1,284.6,45.0,27.5,Normal,8.0,5.8,1.4,0.8,8.0,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,May,Summer,14.4,128.1,284.6,45.0,27.5,Normal,7.8,5.6,1.4,0.8,7.8,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,June,Southwest Monsoon,68.4,204.9,284.6,72.0,23.0,Very High,26.4,19.6,5.0,1.8,26.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,July,Southwest Monsoon,104.4,204.9,284.6,72.0,23.0,Very High,42.4,31.8,8.2,2.4,42.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,August,Southwest Monsoon,80.4,204.9,284.6,72.0,23.0,Very High,46.4,34.8,8.8,2.8,46.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,September,Southwest Monsoon,78.4,204.9,284.6,72.0,23.0,Very High,42.4,31.8,8.2,2.4,42.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,October,Northeast Monsoon,88.4,170.8,284.6,60.0,21.5,Very High,50.4,37.8,9.6,3.0,50.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,November,Northeast Monsoon,84.4,170.8,284.6,60.0,21.5,Very High,44.4,33.4,8.4,2.6,44.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2021,December,Northeast Monsoon,36.4,170.8,284.6,60.0,21.5,High,24.4,18.2,4.6,1.6,24.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,January,Winter,22.4,170.8,284.6,60.0,21.5,High,14.4,10.8,2.6,1.0,14.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,February,Winter,16.8,170.8,284.6,60.0,21.5,Above Normal,12.0,8.8,2.2,1.0,12.0,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,March,Summer,12.8,128.1,284.6,45.0,27.5,Normal,10.0,7.4,1.8,0.8,10.0,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,April,Summer,9.8,128.1,284.6,45.0,27.5,Normal,8.4,6.2,1.4,0.8,8.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,May,Summer,13.8,128.1,284.6,45.0,27.5,Normal,8.2,6.0,1.4,0.8,8.2,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,June,Southwest Monsoon,72.4,204.9,284.6,72.0,23.0,Very High,28.4,21.2,5.4,1.8,28.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,July,Southwest Monsoon,96.4,204.9,284.6,72.0,23.0,Very High,44.4,33.4,8.4,2.6,44.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,August,Southwest Monsoon,94.4,204.9,284.6,72.0,23.0,Very High,48.4,36.4,9.2,2.8,48.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,September,Southwest Monsoon,64.4,204.9,284.6,72.0,23.0,Very High,40.4,30.4,7.8,2.2,40.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,October,Northeast Monsoon,104.4,170.8,284.6,60.0,21.5,Very High,54.4,41.0,10.2,3.2,54.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,November,Northeast Monsoon,68.4,170.8,284.6,60.0,21.5,Very High,40.4,30.4,7.6,2.4,40.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2022,December,Northeast Monsoon,46.4,170.8,284.6,60.0,21.5,High,28.4,21.2,5.4,1.8,28.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,January,Winter,19.4,170.8,284.6,60.0,21.5,High,12.4,9.2,2.4,0.8,12.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,February,Winter,15.4,170.8,284.6,60.0,21.5,Normal,10.8,8.0,2.0,0.8,10.8,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,March,Summer,11.8,128.1,284.6,45.0,27.5,Normal,9.2,6.8,1.6,0.8,9.2,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,April,Summer,9.2,128.1,284.6,45.0,27.5,Normal,7.8,5.6,1.4,0.8,7.8,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,May,Summer,13.2,128.1,284.6,45.0,27.5,Normal,7.6,5.4,1.4,0.8,7.6,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,June,Southwest Monsoon,66.4,204.9,284.6,72.0,23.0,Very High,25.4,18.8,5.0,1.6,25.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,July,Southwest Monsoon,100.4,204.9,284.6,72.0,23.0,Very High,41.4,31.0,8.0,2.4,41.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,August,Southwest Monsoon,86.4,204.9,284.6,72.0,23.0,Very High,45.4,34.0,8.8,2.6,45.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,September,Southwest Monsoon,74.4,204.9,284.6,72.0,23.0,Very High,40.4,30.4,7.8,2.2,40.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,October,Northeast Monsoon,98.4,170.8,284.6,60.0,21.5,Very High,48.4,36.4,9.4,2.6,48.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,November,Northeast Monsoon,76.4,170.8,284.6,60.0,21.5,Very High,42.4,31.8,8.2,2.4,42.4,0.0,Aliyar Dam,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2023,December,Northeast Monsoon,43.4,170.8,284.6,60.0,21.5,High,27.4,20.4,5.2,1.8,27.4,0.0,Aliyar River,"Project baseline dataset (2020-2023, course-provided)"
Pollachi,2024,January,Winter,19.4,170.8,284.6,60.0,21.5,High,12.4,9.2,2.4,0.8,12.4,0.0,Aliyar River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Pollachi,2024,February,Winter,15.4,170.8,284.6,60.0,21.5,Normal,10.8,8.0,2.0,0.8,10.8,0.0,Aliyar River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Pollachi,2024,March,Summer,11.8,128.1,284.6,45.0,27.5,Normal,9.2,6.8,1.6,0.8,9.2,0.0,Aliyar Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Pollachi,2024,April,Summer,9.2,128.1,284.6,45.0,27.5,Normal,7.8,5.6,1.4,0.8,7.8,0.0,Aliyar Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Pollachi,2024,May,Summer,13.2,128.1,284.6,45.0,27.5,Normal,7.6,5.4,1.4,0.8,7.6,0.0,Aliyar Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Pollachi,2024,June,Southwest Monsoon,66.4,204.9,284.6,72.0,23.0,Very High,25.4,18.8,5.0,1.6,25.4,0.0,Aliyar River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Pollachi,2024,July,Southwest Monsoon,100.4,204.9,284.6,72.0,23.0,Very High,41.4,31.0,8.0,2.4,41.4,0.0,Aliyar River,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
Pollachi,2024,August,Southwest Monsoon,86.4,204.9,284.6,72.0,23.0,Very High,45.4,34.0,8.8,2.6,45.4,0.0,Aliyar Dam,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual monthly water-availability figures repeated verbatim (no independent 2024 observation; set in a prior session)."
