Location,Year,Season,Total_Land_Ha,Agricultural_Land_Ha,Irrigated_Land_Ha,Rainfed_Land_Ha,Fallow_Land_Ha,Forest_Land_Ha,Urban_Land_Ha,Wasteland_Ha,Horticulture_Ha,Plantation_Ha,Irrigation_Percent,Agricultural_Percent,Soil_Type,Avg_Soil_pH,Organic_Carbon_Percent,N_Status,P_Status,K_Status,data_source
Salem,2020,Kharif,292668,148420,86640,61780,12840,56420,48260,18640,11680,10820,58.4,50.7,Red Loam,6.5,0.55,Low,Low,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Rabi,292668,144640,82820,61820,16480,56420,48260,18640,11680,10820,57.3,49.4,Red Loam,6.5,0.54,Low,Low,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,Summer,292668,130240,66620,63620,30480,56420,48260,18640,11680,10820,51.2,44.5,Red Loam,6.5,0.53,Low,Low,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,Kharif,292668,150640,88840,61800,12180,56420,48260,18640,11680,10820,59.0,51.5,Red Loam,6.6,0.56,Low,Low,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,Rabi,292668,146820,84820,62000,14820,56420,48260,18640,11680,10820,57.8,50.2,Red Loam,6.6,0.55,Low,Low,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,Summer,292668,134640,70820,63820,26480,56420,48260,18640,11680,10820,52.6,46.0,Red Loam,6.6,0.54,Low,Low,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,Kharif,292668,153240,91640,61600,11180,56420,48260,18640,11680,10820,59.8,52.4,Red Loam,6.7,0.57,Low,Medium,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,Rabi,292668,149620,87820,61800,13140,56420,48260,18640,11680,10820,58.7,51.1,Red Loam,6.7,0.56,Low,Medium,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,Summer,292668,136820,72820,64000,24420,56420,48260,18640,11680,10820,53.2,46.7,Red Loam,6.7,0.55,Low,Medium,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,Kharif,292668,155480,93840,61640,10820,56420,48260,18640,11680,10820,60.4,53.1,Red Loam,6.8,0.58,Medium,Medium,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,Rabi,292668,151640,89640,62000,11680,56420,48260,18640,11680,10820,59.1,51.8,Red Loam,6.8,0.57,Medium,Medium,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,Summer,292668,138420,74420,64000,23420,56420,48260,18640,11680,10820,53.8,47.3,Red Loam,6.8,0.56,Medium,Medium,Medium,"Project baseline dataset (2020-2023, course-provided)"
Salem,2024,Kharif,292668,155480,93840,61640,10820,56420,48260,18640,11680,10820,60.4,53.1,Red Loam,6.8,0.58,Medium,Medium,Medium,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Salem,2024,Rabi,292668,151640,89640,62000,11680,56420,48260,18640,11680,10820,59.1,51.8,Red Loam,6.8,0.57,Medium,Medium,Medium,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
Salem,2024,Summer,292668,138420,74420,64000,23420,56420,48260,18640,11680,10820,53.8,47.3,Red Loam,6.8,0.56,Medium,Medium,Medium,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual carried forward unchanged (land area assumed static year-over-year; set in a prior session)."
