Location,Year,Month,Season,River_Inflow_MCM,Reservoir_Storage_MCM,Reservoir_Capacity_MCM,Storage_Percent,Groundwater_Level_mbgl,Groundwater_Status,Canal_Release_MCM,Irrigation_Water_MCM,Drinking_Water_MCM,Industrial_Water_MCM,Total_Demand_MCM,Deficit_Surplus_MCM,Primary_Source,data_source
Salem,2020,January,Winter,14.2,150.1,312.8,48.0,28.0,Normal,9.4,6.8,1.8,0.8,9.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,February,Winter,10.4,150.1,312.8,48.0,28.0,Below Normal,8.0,5.8,1.6,0.6,8.0,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,March,Summer,7.6,109.5,312.8,35.0,34.0,Low,6.4,4.6,1.4,0.4,6.4,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,April,Summer,5.8,109.5,312.8,35.0,34.0,Low,5.4,3.8,1.2,0.4,5.4,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,May,Summer,9.4,109.5,312.8,35.0,34.0,Very Low,6.2,4.4,1.4,0.4,6.2,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,June,Southwest Monsoon,28.4,193.9,312.8,62.0,29.5,Normal,13.4,9.6,2.6,1.2,13.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,July,Southwest Monsoon,46.4,193.9,312.8,62.0,29.5,Normal,20.4,14.8,4.0,1.6,20.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,August,Southwest Monsoon,52.4,193.9,312.8,62.0,29.5,Above Normal,26.2,19.2,5.0,2.0,26.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,September,Southwest Monsoon,84.2,193.9,312.8,62.0,29.5,Above Normal,36.4,27.0,7.2,2.2,36.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,October,Northeast Monsoon,142.4,150.1,312.8,48.0,28.0,High,56.4,42.2,10.8,3.4,56.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,November,Northeast Monsoon,102.4,150.1,312.8,48.0,28.0,Very High,46.4,34.8,9.0,2.6,46.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2020,December,Northeast Monsoon,46.4,150.1,312.8,48.0,28.0,High,28.4,21.2,5.6,1.6,28.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,January,Winter,16.4,150.1,312.8,48.0,28.0,High,11.4,8.4,2.2,0.8,11.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,February,Winter,12.4,150.1,312.8,48.0,28.0,Above Normal,10.0,7.4,1.8,0.8,10.0,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,March,Summer,8.8,109.5,312.8,35.0,34.0,Normal,8.2,6.0,1.6,0.6,8.2,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,April,Summer,6.4,109.5,312.8,35.0,34.0,Normal,6.8,5.0,1.4,0.4,6.8,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,May,Summer,8.2,109.5,312.8,35.0,34.0,Normal,6.6,4.8,1.4,0.4,6.6,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,June,Southwest Monsoon,32.4,193.9,312.8,62.0,29.5,Normal,15.8,11.6,3.0,1.2,15.8,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,July,Southwest Monsoon,50.4,193.9,312.8,62.0,29.5,Very High,24.4,17.8,4.8,1.8,24.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,August,Southwest Monsoon,44.6,193.9,312.8,62.0,29.5,Very High,28.6,21.2,5.6,1.8,28.6,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,September,Southwest Monsoon,88.4,193.9,312.8,62.0,29.5,Very High,40.4,30.2,8.0,2.2,40.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,October,Northeast Monsoon,126.4,150.1,312.8,48.0,28.0,Very High,60.4,45.4,11.4,3.6,60.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,November,Northeast Monsoon,112.4,150.1,312.8,48.0,28.0,Very High,50.4,37.8,9.8,2.8,50.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2021,December,Northeast Monsoon,36.4,150.1,312.8,48.0,28.0,High,26.2,19.6,5.2,1.4,26.2,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,January,Winter,14.8,150.1,312.8,48.0,28.0,High,10.4,7.6,2.0,0.8,10.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,February,Winter,10.8,150.1,312.8,48.0,28.0,Normal,8.8,6.4,1.6,0.8,8.8,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,March,Summer,7.8,109.5,312.8,35.0,34.0,Normal,7.4,5.4,1.4,0.6,7.4,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,April,Summer,5.8,109.5,312.8,35.0,34.0,Normal,6.4,4.6,1.2,0.6,6.4,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,May,Summer,8.6,109.5,312.8,35.0,34.0,Normal,6.2,4.4,1.2,0.6,6.2,0.0,Thirumanimuttar River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,June,Southwest Monsoon,36.4,193.9,312.8,62.0,29.5,Normal,17.2,12.6,3.4,1.2,17.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,July,Southwest Monsoon,52.4,193.9,312.8,62.0,29.5,Very High,26.2,19.2,5.2,1.8,26.2,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,August,Southwest Monsoon,54.6,193.9,312.8,62.0,29.5,Very High,30.4,22.6,6.0,1.8,30.4,0.0,Cauvery River,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,September,Southwest Monsoon,78.4,193.9,312.8,62.0,29.5,Very High,36.4,27.2,7.4,1.8,36.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,October,Northeast Monsoon,152.4,150.1,312.8,48.0,28.0,Very High,64.4,48.4,12.2,3.8,64.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,November,Northeast Monsoon,88.4,150.1,312.8,48.0,28.0,Very High,44.4,33.2,8.8,2.4,44.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2022,December,Northeast Monsoon,48.4,150.1,312.8,48.0,28.0,High,30.4,22.8,5.8,1.8,30.4,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
Salem,2023,January,Winter,13.4,150.1,312.8,48.0,28.0,High,10.0,7.2,2.0,0.8,10.0,0.0,Mettur Dam,"Project baseline dataset (2020-2023, course-provided)"
